Id,satisfaction_level,number_project,average_monthly_hours,time_spend_company_in_yrs,Work_accident,promotion_last_5years
1,0.38,2,157,3,0,1
2,0.8,5,262,6,0,1
3,0.11,7,272,4,0,0
4,0.72,5,223,5,0,0
5,0.37,2,159,3,0,0
6,0.41,2,153,3,0,0
7,0.1,6,247,4,0,0
8,0.92,5,259,5,0,0
9,0.89,5,224,5,0,1
10,0.42,2,142,3,0,1
11,0.45,2,135,3,0,1
12,0.11,6,305,4,0,0
13,0.84,4,234,5,0,1
14,0.41,2,148,3,0,0
15,0.36,2,137,3,0,1
16,0.38,2,143,3,0,0
17,0.45,2,160,3,0,1
18,0.78,4,255,6,0,0
19,0.45,2,160,3,1,0
20,0.76,5,262,5,0,0
21,0.11,6,282,4,0,1
22,0.38,2,147,3,0,0
23,0.09,6,304,4,0,0
24,0.46,2,139,3,0,1
25,0.4,2,158,3,0,1
26,0.89,5,242,5,0,0
27,0.82,4,239,5,0,1
28,0.4,2,135,3,0,0
29,0.41,2,128,3,0,1
30,0.38,2,132,3,0,1
31,0.09,6,294,4,0,1
32,0.45,2,134,3,0,1
33,0.4,2,145,3,0,1
34,0.45,2,140,3,0,0
35,0.84,4,246,6,0,1
36,0.1,6,255,4,0,0
37,0.38,2,137,3,0,0
38,0.45,2,126,3,0,0
39,0.11,6,306,4,0,0
40,0.41,2,152,3,0,1
41,0.87,5,269,5,0,1
42,0.45,2,158,3,0,0
43,0.4,2,127,3,0,1
44,0.1,7,281,4,0,0
45,0.09,6,276,4,0,0
46,0.84,3,182,4,0,1
47,0.4,2,147,3,0,0
48,0.57,3,273,6,0,1
49,0.4,2,148,3,0,0
50,0.43,2,147,3,0,0
51,0.13,6,152,2,0,1
52,0.44,2,135,3,0,0
53,0.38,2,134,3,0,0
54,0.39,2,132,3,0,0
55,0.1,7,307,4,0,1
56,0.37,2,140,3,0,1
57,0.11,7,255,4,0,0
58,0.1,6,309,4,0,0
59,0.38,2,128,3,0,1
60,0.85,4,225,5,0,0
61,0.85,5,226,5,0,0
62,0.11,7,308,4,0,1
63,0.1,6,244,5,0,1
64,0.36,2,132,3,0,0
65,0.11,6,286,4,0,0
66,0.81,6,161,4,0,0
67,0.43,2,153,3,0,0
68,0.9,4,264,6,0,0
69,0.76,5,223,5,1,0
70,0.43,2,135,3,0,1
71,0.74,2,277,3,0,0
72,0.09,5,275,4,0,0
73,0.45,2,149,3,0,1
74,0.09,7,295,4,0,0
75,0.11,6,277,4,0,0
76,0.11,7,306,4,0,1
77,0.1,6,295,4,0,0
78,0.4,2,137,3,0,1
79,0.43,2,157,3,0,0
80,0.39,2,142,3,0,1
81,0.45,2,140,3,0,1
82,0.38,2,151,3,0,0
83,0.79,4,139,3,0,0
84,0.84,4,249,6,0,1
85,0.11,6,291,4,0,1
86,0.11,6,305,4,0,0
87,0.17,5,232,3,0,0
88,0.44,2,132,3,0,0
89,0.37,2,130,3,0,0
90,0.1,6,291,4,0,0
91,0.4,2,130,3,0,1
92,0.89,5,246,5,0,1
93,0.42,2,143,3,0,1
94,0.46,2,129,3,0,0
95,0.09,6,255,4,0,0
96,0.37,2,155,3,0,1
97,0.1,6,265,4,0,0
98,0.1,6,279,4,0,1
99,0.11,6,284,4,0,1
100,0.9,5,221,6,0,1
101,0.38,2,154,3,0,0
102,0.36,2,147,3,0,1
103,0.42,2,150,3,0,0
104,0.09,7,267,4,0,1
105,0.43,2,158,3,0,0
106,0.24,7,224,5,0,1
107,0.91,4,257,5,0,0
108,0.44,2,148,3,0,1
109,0.71,3,177,4,0,0
110,0.4,2,155,3,0,0
111,0.43,2,144,3,0,1
112,0.09,6,289,4,0,1
113,0.43,2,160,3,0,1
114,0.9,4,258,5,0,0
115,0.84,5,234,5,0,1
116,0.37,2,137,3,0,0
117,0.86,5,263,2,0,0
118,0.11,6,251,4,0,0
119,0.37,2,133,3,0,0
120,0.4,2,132,3,0,1
121,0.14,4,158,4,1,0
122,0.4,2,135,3,0,0
123,0.75,4,216,6,0,0
124,0.11,6,300,5,1,0
125,0.46,2,138,3,0,0
126,0.11,6,260,4,0,1
127,0.38,2,132,3,0,1
128,0.7,3,183,5,0,0
129,0.09,6,250,4,0,1
130,0.37,2,151,3,0,0
131,0.1,6,292,4,0,1
132,0.38,2,140,3,0,0
133,0.9,5,221,5,0,1
134,0.44,2,138,3,0,1
135,0.36,2,132,3,0,0
136,0.31,7,133,5,0,1
137,0.1,6,283,4,1,1
138,0.42,2,129,3,0,0
139,0.74,4,249,5,0,0
140,0.73,5,257,5,0,1
141,0.09,6,245,4,0,0
142,0.45,2,155,3,0,1
143,0.11,6,256,4,0,0
144,0.37,2,152,3,0,1
145,0.84,4,267,5,0,0
146,0.41,2,151,3,0,0
147,0.76,4,239,5,0,0
148,0.11,6,306,4,0,1
149,0.84,4,263,5,1,0
150,0.39,2,147,3,0,1
151,0.11,6,278,4,0,0
152,0.45,2,154,3,0,1
153,0.37,2,143,3,0,1
154,0.4,2,155,3,0,0
155,0.39,2,160,3,0,0
156,0.11,6,304,4,0,1
157,0.83,5,240,5,0,0
158,0.11,6,305,4,0,0
159,0.39,2,136,3,0,0
160,0.45,2,132,3,0,0
161,0.1,7,301,4,0,1
162,0.9,5,243,6,0,1
163,0.45,2,147,3,0,1
164,0.79,5,239,5,0,1
165,0.9,5,260,5,0,0
166,0.11,7,296,4,0,1
167,0.43,2,129,3,0,1
168,0.31,5,132,5,0,1
169,0.32,2,135,5,0,0
170,0.45,2,158,3,0,1
171,0.81,4,259,5,0,1
172,0.41,2,160,3,0,1
173,0.11,7,278,4,0,0
174,0.1,6,284,4,0,0
175,0.7,2,274,4,0,1
176,0.54,4,164,2,0,0
177,0.41,2,148,3,0,1
178,0.38,2,140,3,0,1
179,0.37,2,127,3,0,1
180,0.11,6,308,5,0,1
181,0.4,2,146,3,0,0
182,0.1,6,261,4,0,0
183,0.89,5,257,5,0,0
184,0.11,6,285,4,0,1
185,0.36,2,141,3,0,0
186,0.4,2,127,3,0,1
187,0.09,6,297,4,0,0
188,0.4,2,143,3,0,0
189,0.37,2,152,3,0,1
190,0.44,2,156,3,0,0
191,0.09,7,283,5,0,1
192,0.92,4,226,6,1,0
193,0.74,4,232,5,0,1
194,0.09,6,249,4,0,1
195,0.89,4,275,5,0,0
196,0.09,6,304,4,0,0
197,0.27,7,278,3,0,0
198,0.1,6,287,4,0,0
199,0.1,7,285,4,0,1
200,0.77,5,226,6,0,0
201,0.9,5,259,5,0,1
202,0.39,2,135,3,0,1
203,0.76,5,219,5,0,1
204,0.1,6,256,4,0,1
205,0.87,5,254,6,0,0
206,0.38,2,153,3,0,1
207,0.77,5,228,5,0,0
208,0.78,4,228,5,0,0
209,0.44,2,128,3,0,0
210,0.38,2,153,3,0,1
211,0.43,2,156,3,0,1
212,0.39,4,294,3,0,0
213,0.88,5,219,5,0,0
214,0.45,2,153,3,0,1
215,0.4,2,151,3,0,0
216,0.36,2,155,3,0,1
217,0.36,2,158,3,0,1
218,0.9,5,245,5,0,1
219,0.43,2,131,3,0,1
220,0.89,5,225,5,0,0
221,0.1,6,286,4,0,1
222,0.37,2,135,3,0,0
223,0.37,2,153,3,0,0
224,0.87,5,252,5,0,0
225,0.4,2,149,3,0,1
226,0.9,4,258,5,0,0
227,0.37,2,158,3,0,1
228,0.44,2,149,3,0,0
229,0.85,5,236,5,0,1
230,0.78,5,239,6,0,1
231,0.42,2,159,3,0,0
232,0.92,5,255,6,0,0
233,0.11,6,244,4,0,0
234,0.42,2,134,3,0,0
235,0.48,4,270,4,0,1
236,0.83,4,255,5,0,1
237,0.4,2,151,3,0,1
238,0.43,2,135,3,0,0
239,0.43,2,146,3,0,0
240,0.1,7,254,4,0,0
241,0.1,7,289,4,0,0
242,0.37,2,156,3,0,0
243,0.38,2,156,3,0,0
244,0.4,2,128,3,0,0
245,0.89,5,275,5,0,1
246,0.45,2,155,3,0,0
247,0.37,2,159,3,0,1
248,0.46,2,148,3,0,0
249,0.87,4,228,5,0,0
250,0.11,6,298,4,0,1
251,0.79,5,261,5,0,1
252,0.79,5,254,6,0,1
253,0.19,7,192,3,0,1
254,0.87,4,248,5,0,0
255,0.6,2,258,5,0,0
256,0.44,2,156,3,0,0
257,0.11,6,266,4,1,1
258,0.42,2,156,3,0,1
259,0.88,5,232,5,1,1
260,0.11,6,287,4,0,1
261,0.46,2,154,3,0,1
262,0.82,5,263,5,0,0
263,0.44,2,131,3,0,1
264,0.11,6,260,4,0,0
265,0.42,2,139,3,0,1
266,0.84,4,251,5,0,1
267,0.11,6,286,4,0,0
268,0.45,2,129,3,0,1
269,0.38,2,156,3,0,0
270,0.38,6,139,6,0,0
271,0.44,2,127,3,0,1
272,0.11,6,251,4,0,0
273,0.81,5,270,5,0,1
274,0.09,6,296,4,0,1
275,0.11,6,254,4,0,0
276,0.81,5,238,6,0,0
277,0.1,6,267,4,1,1
278,0.74,5,229,6,0,1
279,0.09,6,254,4,0,0
280,0.82,4,233,4,1,1
281,0.1,6,268,4,0,1
282,0.27,3,301,3,0,1
283,0.83,5,267,6,0,0
284,0.1,6,289,4,1,1
285,0.38,2,144,3,0,1
286,0.4,2,148,3,0,1
287,0.11,6,306,4,0,1
288,0.11,6,292,4,0,0
289,0.82,5,232,5,0,1
290,0.36,2,137,3,0,1
291,0.4,2,128,3,0,0
292,0.87,5,231,5,0,1
293,0.41,2,146,3,0,1
294,0.11,6,308,4,1,0
295,0.1,6,253,4,0,0
296,0.38,2,146,3,0,1
297,0.39,2,156,3,0,1
298,0.4,2,147,3,0,0
299,0.45,2,136,3,0,0
300,0.74,5,249,5,0,0
301,0.45,2,151,3,0,0
302,0.12,3,278,4,0,1
303,0.1,7,250,5,0,0
304,0.37,2,127,3,0,0
305,0.89,5,255,5,0,0
306,0.45,2,135,3,0,1
307,0.37,2,149,3,0,0
308,0.11,5,287,4,0,0
309,0.41,2,145,3,0,0
310,0.1,6,285,4,0,1
311,0.1,7,305,4,0,1
312,0.11,7,300,4,0,0
313,0.4,2,139,3,0,0
314,0.41,2,130,3,0,1
315,0.1,6,268,4,0,1
316,0.73,4,245,6,0,0
317,0.43,2,135,3,0,0
318,0.37,2,153,3,0,0
319,0.11,6,276,4,0,1
320,0.4,2,130,3,0,1
321,0.41,2,153,3,1,1
322,0.82,5,244,5,0,0
323,0.61,2,253,3,0,1
324,0.11,7,287,4,0,1
325,0.37,2,131,3,0,1
326,0.41,2,135,3,0,1
327,0.37,2,157,3,0,0
328,0.88,5,262,6,0,0
329,0.1,6,266,4,0,1
330,0.44,2,148,3,0,0
331,0.38,2,140,3,0,1
332,0.11,7,302,4,0,0
333,0.09,6,271,4,0,0
334,0.45,2,145,3,0,0
335,0.1,6,290,4,0,1
336,0.45,2,151,3,0,1
337,0.77,5,266,5,0,1
338,0.44,2,140,3,0,0
339,0.39,2,142,3,0,1
340,0.1,6,246,4,0,1
341,0.09,7,308,5,0,1
342,0.37,2,141,3,0,1
343,0.9,5,232,5,0,0
344,0.41,2,143,3,0,1
345,0.37,2,155,3,0,0
346,0.1,6,278,4,0,1
347,0.81,4,253,5,0,0
348,0.11,6,282,4,0,0
349,0.11,7,264,4,0,0
350,0.4,2,149,3,0,0
351,0.09,6,304,5,0,1
352,0.48,3,219,6,0,1
353,0.91,4,262,6,0,0
354,0.43,2,135,3,0,1
355,0.33,6,219,5,0,1
356,0.41,2,136,3,0,1
357,0.41,2,154,3,0,1
358,0.37,2,149,3,0,1
359,0.31,6,135,5,0,0
360,0.09,6,275,4,0,1
361,0.1,6,290,4,0,1
362,0.76,4,263,5,0,0
363,0.41,2,145,3,0,0
364,0.72,5,267,5,0,1
365,0.4,2,141,3,1,1
366,0.91,4,235,5,0,1
367,0.1,6,258,4,0,0
368,0.4,2,131,3,0,1
369,0.82,5,243,5,0,0
370,0.1,6,266,4,0,1
371,0.37,2,142,3,0,1
372,0.36,2,135,3,0,1
373,0.39,2,141,3,0,1
374,0.36,2,142,3,0,1
375,0.86,5,254,5,0,1
376,0.73,5,262,5,0,1
377,0.56,4,296,2,0,1
378,0.44,2,158,3,0,0
379,0.31,4,238,2,0,0
380,0.77,4,231,5,0,0
381,0.44,2,156,3,0,0
382,0.38,2,145,3,0,1
383,0.45,2,144,3,0,0
384,0.38,2,159,3,0,1
385,0.36,2,156,3,0,0
386,0.75,5,256,5,0,0
387,0.1,6,298,4,0,1
388,0.1,6,247,4,0,0
389,0.45,2,157,3,0,1
390,0.42,2,154,3,1,0
391,0.78,4,253,5,0,1
392,0.45,2,148,3,0,0
393,0.84,4,261,5,0,0
394,0.11,6,282,4,0,1
395,0.42,2,133,3,0,0
396,0.45,2,128,3,0,0
397,0.46,2,139,3,0,0
398,0.09,6,293,5,0,1
399,0.87,4,265,6,0,0
400,0.1,6,250,4,0,0
401,0.91,5,251,6,0,1
402,0.76,4,246,5,0,0
403,0.74,5,275,5,0,1
404,0.92,5,240,5,0,0
405,0.76,5,245,5,0,1
406,0.47,4,254,4,0,0
407,0.73,5,241,5,0,0
408,0.09,6,257,4,0,1
409,0.91,4,246,5,0,1
410,0.82,4,233,5,0,0
411,0.28,6,218,4,0,1
412,0.84,4,262,6,0,1
413,0.45,2,138,3,0,1
414,0.45,2,142,3,0,1
415,0.91,5,233,5,0,1
416,0.42,2,155,3,0,1
417,0.82,4,229,6,0,1
418,0.11,6,264,4,0,1
419,0.42,3,199,4,0,0
420,0.82,4,223,5,0,0
421,0.09,6,268,4,0,0
422,0.1,6,287,4,0,0
423,0.86,5,257,5,0,1
424,0.4,2,143,3,0,1
425,0.45,2,130,3,0,0
426,0.42,2,136,3,0,1
427,0.74,4,261,5,0,1
428,0.55,3,180,4,0,1
429,0.37,2,126,3,0,0
430,0.41,2,127,3,1,0
431,0.89,5,195,6,0,1
432,0.41,2,160,3,0,1
433,0.44,2,150,3,0,0
434,0.87,4,264,6,0,0
435,0.1,6,309,4,0,0
436,0.41,2,135,3,0,1
437,0.11,6,261,4,0,0
438,0.43,2,160,3,0,0
439,0.77,4,237,5,0,0
440,0.41,2,136,3,0,1
441,0.41,2,139,3,0,0
442,0.36,2,151,4,0,0
443,0.77,5,229,5,0,0
444,0.81,5,245,5,0,0
445,0.39,2,127,3,0,0
446,0.09,6,283,5,0,1
447,0.44,2,143,3,0,1
448,0.1,5,298,4,0,1
449,0.36,2,159,3,0,0
450,0.81,5,239,5,0,0
451,0.81,4,226,5,0,0
452,0.85,5,248,5,0,1
453,0.1,6,286,4,0,0
454,0.37,2,145,3,0,0
455,0.09,7,254,4,1,0
456,0.44,2,127,3,0,0
457,0.86,5,223,5,0,0
458,0.77,4,255,5,0,0
459,0.41,2,136,3,0,1
460,0.4,2,137,3,0,0
461,0.43,2,135,3,0,0
462,0.43,2,137,3,0,0
463,0.8,3,255,5,0,0
464,0.8,4,273,5,0,0
465,0.82,5,234,5,0,0
466,0.37,2,152,3,0,0
467,0.37,2,134,3,0,1
468,0.09,6,292,4,0,0
469,0.9,5,245,5,0,1
470,0.41,2,159,3,0,0
471,0.1,6,260,4,0,0
472,0.44,2,149,3,0,1
473,0.89,5,266,5,0,0
474,0.42,2,149,3,0,1
475,0.87,5,242,5,0,0
476,0.45,2,134,3,0,0
477,0.11,5,271,4,0,1
478,0.09,6,275,4,0,0
479,0.76,5,227,5,0,0
480,0.11,7,277,5,0,1
481,0.37,2,151,3,0,1
482,0.1,6,274,4,0,0
483,0.77,4,242,6,0,0
484,0.42,2,143,3,1,0
485,0.38,2,145,3,0,0
486,0.32,5,172,2,0,1
487,0.38,2,135,3,0,0
488,0.19,4,192,4,0,1
489,0.1,7,276,4,0,0
490,0.76,4,206,4,0,1
491,0.53,4,281,6,0,1
492,0.39,2,151,3,0,0
493,0.11,6,244,4,0,1
494,0.1,6,309,4,0,0
495,0.84,5,218,5,0,1
496,0.82,4,263,6,0,1
497,0.1,6,244,4,0,0
498,0.59,7,263,4,0,0
499,0.44,2,143,3,0,0
500,0.89,2,181,5,0,0
501,0.91,5,265,5,0,0
502,0.66,5,161,5,0,1
503,0.11,7,282,5,0,1
504,0.43,2,155,3,0,0
505,0.78,4,217,6,0,1
506,0.11,6,289,5,0,1
507,0.83,4,259,5,0,1
508,0.39,2,158,3,0,1
509,0.38,2,158,3,0,1
510,0.37,2,155,3,0,1
511,0.44,2,146,3,0,1
512,0.53,2,164,5,0,0
513,0.09,6,259,4,0,0
